,LOCATION,Latitude,Longitude
389,"Laurel Lodge,Castleknock",53.3810956436847,-6.37124558642032
390,"St. Mologa's Park,Balbriggan",53.6170745642375,-6.1869350454868695
391,"St. Mologa's Park,Balbriggan",53.6166955300167,-6.18816813012173
392,"St. Mologa's Park,Balbriggan",53.616542721315696,-6.18903911886704
393,"Craoibhinn Park,Balbriggan",53.605086084138605,-6.17632209518723
394,"Seagrange Park,Dublin 13",53.3960183001863,-6.135436581636339
395,"Seagrange Park,Baldoyle",53.3950396442173,-6.135810193947901
396,"Seagrange Park,Dublin 13",53.3923690428337,-6.13478697030993
397,"Balrothery Park,Balrothery ",53.584258718693505,-6.19133130165668
398,"St. Catherines,Unnamed Road, St. Catherine's Park, Co. Dublin, Ireland",53.36675762851421,-6.4704343035771394
399,"St. Catherines,Unnamed Road, St. Catherine's Park, Co. Dublin, Ireland",53.3666957677986,-6.46922405311142
400,"St. Catherines,Unnamed Road, Coldblow, Co. Dublin, Ireland",53.366119201884096,-6.46420051624575
401,"Seagrange Park,Dublin 13",53.3924305120341,-6.136276656074281
402,"St. Catherines,St. Catherines Demesne, Lucan",53.3711170322279,-6.4675030453170095
403,"Hazelbury Park,Castaheany",53.401055350054996,-6.428396869462969
404,"Porterstown Park,Porterstown",53.370080903192395,-6.404259386374531
405,"Robswall,Malahide",53.4418690708661,-6.13572668724154
406,"Balheary  Reservoir,Swords",53.47199227978,-6.22303389154358
